transaction_date,merchant_category,transaction_amount
2019-05-01,Entertainment,6424.11
2019-05-01,Home,7989.64
2019-05-02,Travel,6668.360000000001
2019-05-02,Shopping Pos,13340.27
2019-05-02,Shopping Net,10296.61
2019-05-02,Personal Care,6497.9
2019-05-02,Misc Pos,3913.84
2019-05-02,Misc Net,5441.75
2019-05-02,Kids Pets,7881.65
2019-05-02,Home,8706.11
2019-05-02,Grocery Pos,14253.81
2019-05-02,Grocery Net,2796.56
2019-05-02,Gas Transport,10264.16
2019-05-02,Food Dining,5824.91
2019-05-02,Entertainment,6533.1
2019-05-02,Health Fitness,5119.49
2019-05-03,Travel,2776.62
2019-05-03,Shopping Pos,11860.52
2019-05-03,Shopping Net,9335.5
2019-05-03,Personal Care,5025.08
2019-05-03,Misc Pos,5385.01
2019-05-03,Kids Pets,6950.96
2019-05-03,Misc Net,8486.83
2019-05-03,Health Fitness,4927.63
2019-05-03,Entertainment,6845.27
2019-05-03,Food Dining,5913.9
2019-05-03,Home,7516.88
2019-05-03,Grocery Net,3204.79
2019-05-03,Grocery Pos,17030.72
2019-05-03,Gas Transport,10417.52
2019-05-04,Travel,6468.87
2019-05-04,Shopping Pos,17469.31
2019-05-04,Shopping Net,13375.94
2019-05-04,Personal Care,7347.47
2019-05-04,Misc Pos,7750.15
2019-05-04,Kids Pets,10067.039999999999
2019-05-04,Misc Net,8213.58
2019-05-04,Health Fitness,7239.22
2019-05-04,Grocery Pos,22434.91
2019-05-04,Grocery Net,4053.57
2019-05-04,Gas Transport,13895.41
2019-05-04,Food Dining,9185.68
2019-05-04,Entertainment,9849.47
2019-05-04,Home,12217.33
2019-05-05,Travel,7595.68
2019-05-05,Shopping Pos,18472.99
2019-05-05,Shopping Net,15089.109999999999
2019-05-05,Personal Care,8969.66
2019-05-05,Misc Pos,10955.14
2019-05-05,Kids Pets,13619.34
2019-05-05,Misc Net,9125.18
2019-05-05,Health Fitness,8707.48
2019-05-05,Entertainment,11348.619999999999
2019-05-05,Food Dining,10268.2
2019-05-05,Home,12302.03
2019-05-05,Grocery Net,5918.12
2019-05-05,Grocery Pos,30000.69
2019-05-05,Gas Transport,16427.0
2019-05-06,Travel,6673.57
2019-05-06,Shopping Pos,16254.58
2019-05-06,Shopping Net,14932.31
2019-05-06,Personal Care,9861.8
2019-05-06,Misc Pos,7094.82
2019-05-06,Kids Pets,12911.01
2019-05-06,Misc Net,8015.3
2019-05-06,Health Fitness,11309.17
2019-05-06,Grocery Pos,25451.95
2019-05-06,Grocery Net,5632.03
2019-05-06,Gas Transport,16973.03
2019-05-06,Food Dining,8680.41
2019-05-06,Entertainment,10246.12
2019-05-06,Home,15683.7
2019-05-07,Travel,2019.1100000000001
2019-05-07,Shopping Pos,6785.2
2019-05-07,Shopping Net,7684.21
2019-05-07,Personal Care,3892.8
2019-05-07,Misc Pos,3886.9900000000002
2019-05-07,Misc Net,5902.74
2019-05-07,Kids Pets,6225.04
2019-05-07,Health Fitness,4580.97
2019-05-07,Entertainment,5267.12
2019-05-07,Food Dining,5006.37
2019-05-07,Home,6158.8099999999995
2019-05-07,Grocery Net,1824.24
2019-05-07,Grocery Pos,14952.24
2019-05-07,Gas Transport,9192.92
2019-05-08,Travel,5641.32
2019-05-08,Shopping Pos,10209.18
2019-05-08,Shopping Net,7161.33
2019-05-08,Personal Care,5675.92
2019-05-08,Misc Pos,5543.89
2019-05-08,Kids Pets,6497.69
2019-05-08,Misc Net,4061.71
2019-05-08,Health Fitness,4083.16
2019-05-08,Grocery Pos,17064.09
2019-05-08,Grocery Net,2749.16
2019-05-08,Gas Transport,10299.03
2019-05-08,Food Dining,4289.42
2019-05-08,Entertainment,6650.6
2019-05-08,Home,8056.7
2019-05-09,Travel,10955.83
2019-05-09,Shopping Pos,12717.689999999999
2019-05-09,Shopping Net,8619.48
2019-05-09,Personal Care,5541.2699999999995
2019-05-09,Misc Pos,4350.91
2019-05-09,Kids Pets,5894.9
2019-05-09,Misc Net,5274.88
2019-05-09,Health Fitness,5270.37
2019-05-09,Entertainment,7192.56
2019-05-09,Food Dining,4594.27
2019-05-09,Home,8431.91
2019-05-09,Grocery Net,2475.16
2019-05-09,Grocery Pos,18480.04
2019-05-09,Gas Transport,8447.27
2019-05-10,Travel,4448.6
2019-05-10,Shopping Pos,12000.09
2019-05-10,Shopping Net,8881.5
2019-05-10,Personal Care,5193.62
2019-05-10,Misc Pos,4265.04
2019-05-10,Kids Pets,8536.83
2019-05-10,Misc Net,8548.94
2019-05-10,Health Fitness,5791.33
2019-05-10,Grocery Pos,17358.64
2019-05-10,Grocery Net,3088.93
2019-05-10,Gas Transport,9739.06
2019-05-10,Food Dining,6764.82
2019-05-10,Entertainment,7302.9
2019-05-10,Home,7409.14
2019-05-11,Travel,5277.62
2019-05-11,Shopping Pos,17761.03
2019-05-11,Shopping Net,14372.25
2019-05-11,Personal Care,8601.24
2019-05-11,Misc Pos,10491.43
2019-05-11,Misc Net,4514.82
2019-05-11,Kids Pets,10063.62
2019-05-11,Home,10927.07
2019-05-11,Grocery Pos,24955.64
2019-05-11,Entertainment,9181.84
2019-05-11,Food Dining,8732.41
2019-05-11,Health Fitness,7004.15
2019-05-11,Grocery Net,4974.28
2019-05-11,Gas Transport,15149.08
2019-05-12,Travel,4792.76
2019-05-12,Shopping Pos,15800.96
2019-05-12,Shopping Net,27457.71
2019-05-12,Personal Care,9615.86
2019-05-12,Misc Pos,11767.94
2019-05-12,Kids Pets,11624.8
2019-05-12,Misc Net,9003.89
2019-05-12,Health Fitness,10145.06
2019-05-12,Grocery Pos,27825.14
2019-05-12,Grocery Net,4833.35
2019-05-12,Gas Transport,17102.79
2019-05-12,Food Dining,7661.93
2019-05-12,Entertainment,13945.31
2019-05-12,Home,15276.06
2019-05-13,Travel,4456.18
2019-05-13,Shopping Pos,23243.72
2019-05-13,Shopping Net,17187.8
2019-05-13,Personal Care,8059.22
2019-05-13,Misc Pos,6394.93
2019-05-13,Misc Net,9521.47
2019-05-13,Kids Pets,12565.11
2019-05-13,Health Fitness,7594.7699999999995
2019-05-13,Grocery Pos,28638.87
2019-05-13,Grocery Net,4689.47
2019-05-13,Gas Transport,18129.32
2019-05-13,Food Dining,8149.0599999999995
2019-05-13,Entertainment,10554.74
2019-05-13,Home,12429.69
2019-05-14,Travel,13720.869999999999
2019-05-14,Shopping Pos,6328.0599999999995
2019-05-14,Shopping Net,8779.12
2019-05-14,Personal Care,3251.84
2019-05-14,Misc Pos,5142.97
2019-05-14,Misc Net,4073.05
2019-05-14,Kids Pets,6597.54
2019-05-14,Home,5825.18
2019-05-14,Grocery Pos,17207.98
2019-05-14,Grocery Net,2624.75
2019-05-14,Gas Transport,8593.06
2019-05-14,Food Dining,4221.73
2019-05-14,Entertainment,5575.57
2019-05-14,Health Fitness,3993.7599999999998
2019-05-15,Misc Net,4599.26
2019-05-15,Travel,4793.7
2019-05-15,Shopping Pos,15688.79
2019-05-15,Shopping Net,10931.27
2019-05-15,Personal Care,4736.9
2019-05-15,Misc Pos,6835.53
2019-05-15,Kids Pets,7259.2699999999995
2019-05-15,Grocery Net,2792.8
2019-05-15,Health Fitness,4899.26
2019-05-15,Entertainment,5186.91
2019-05-15,Food Dining,5138.4
2019-05-15,Home,8139.22
2019-05-15,Grocery Pos,16119.91
2019-05-15,Gas Transport,8954.09
2019-05-16,Misc Pos,4902.79
2019-05-16,Travel,7824.14
2019-05-16,Shopping Pos,11726.74
2019-05-16,Shopping Net,11570.73
2019-05-16,Personal Care,4755.04
2019-05-16,Misc Net,13157.54
2019-05-16,Kids Pets,6735.72
2019-05-16,Home,8594.72
2019-05-16,Grocery Pos,18358.82
2019-05-16,Grocery Net,2912.47
2019-05-16,Gas Transport,9201.02
2019-05-16,Food Dining,6122.78
2019-05-16,Entertainment,6178.08
2019-05-16,Health Fitness,4564.47
2019-05-17,Personal Care,4930.51
2019-05-17,Shopping Net,13078.44
2019-05-17,Misc Net,8462.43
2019-05-17,Travel,3861.38
2019-05-17,Misc Pos,5326.46
2019-05-17,Shopping Pos,14081.33
2019-05-17,Kids Pets,7643.31
2019-05-17,Gas Transport,10151.62
2019-05-17,Health Fitness,4146.61
2019-05-17,Grocery Pos,18264.05
2019-05-17,Grocery Net,2927.86
2019-05-17,Food Dining,5906.87
2019-05-17,Entertainment,7903.71
2019-05-17,Home,7679.9400000000005
2019-05-18,Travel,3029.2999999999997
2019-05-18,Misc Net,5977.79
2019-05-18,Shopping Pos,21515.98
2019-05-18,Shopping Net,12774.08
2019-05-18,Personal Care,8748.19
2019-05-18,Misc Pos,8644.95
2019-05-18,Kids Pets,10586.3
2019-05-18,Gas Transport,13085.87
2019-05-18,Health Fitness,7482.12
2019-05-18,Grocery Pos,23540.73
2019-05-18,Grocery Net,3680.1
2019-05-18,Food Dining,7965.0
2019-05-18,Entertainment,10068.46
2019-05-18,Home,12081.39
2019-05-19,Misc Pos,8971.92
2019-05-19,Travel,6871.740000000001
2019-05-19,Shopping Pos,16711.79
2019-05-19,Shopping Net,20385.25
2019-05-19,Personal Care,7344.74
2019-05-19,Kids Pets,13680.93
2019-05-19,Misc Net,7261.37
2019-05-19,Health Fitness,8612.09
2019-05-19,Grocery Pos,26862.38
2019-05-19,Grocery Net,4826.79
2019-05-19,Gas Transport,18054.89
2019-05-19,Food Dining,8008.34
2019-05-19,Entertainment,13701.1
2019-05-19,Home,12558.68
2019-05-20,Travel,8042.02
2019-05-20,Shopping Pos,25635.31
2019-05-20,Shopping Net,37473.24
2019-05-20,Misc Net,12292.65
2019-05-20,Personal Care,8505.66
2019-05-20,Misc Pos,7324.84
2019-05-20,Kids Pets,13773.87
2019-05-20,Gas Transport,16211.59
2019-05-20,Health Fitness,9240.13
2019-05-20,Grocery Pos,27594.37
2019-05-20,Grocery Net,4837.43
2019-05-20,Food Dining,10330.92
2019-05-20,Entertainment,13154.65
2019-05-20,Home,15470.15
2019-05-21,Shopping Pos,9385.18
2019-05-21,Shopping Net,5978.09
2019-05-21,Personal Care,4837.01
2019-05-21,Misc Pos,5162.35
2019-05-21,Misc Net,4698.44
2019-05-21,Kids Pets,5471.8099999999995
2019-05-21,Travel,1618.69
2019-05-21,Health Fitness,4144.13
2019-05-21,Grocery Pos,16047.27
2019-05-21,Grocery Net,2783.97
2019-05-21,Gas Transport,7913.16
2019-05-21,Food Dining,4644.2699999999995
2019-05-21,Entertainment,5086.3
2019-05-21,Home,6981.34
2019-05-22,Travel,2112.83
2019-05-22,Shopping Pos,6330.7699999999995
2019-05-22,Shopping Net,7278.900000000001
2019-05-22,Personal Care,5299.77
2019-05-22,Misc Pos,7330.83
2019-05-22,Misc Net,6328.09
2019-05-22,Kids Pets,7069.28
2019-05-22,Home,7742.81
2019-05-22,Grocery Pos,16433.25
2019-05-22,Grocery Net,2434.71
2019-05-22,Gas Transport,8164.09
2019-05-22,Food Dining,5716.78
2019-05-22,Entertainment,6621.22
2019-05-22,Health Fitness,5058.51
2019-05-23,Misc Net,6602.37
2019-05-23,Shopping Pos,7064.74
2019-05-23,Shopping Net,8095.88
2019-05-23,Personal Care,5560.4
2019-05-23,Misc Pos,6053.1
2019-05-23,Kids Pets,7969.73
2019-05-23,Travel,3306.1400000000003
2019-05-23,Health Fitness,7197.13
2019-05-23,Grocery Pos,18728.31
2019-05-23,Grocery Net,2902.57
2019-05-23,Gas Transport,9875.85
2019-05-23,Food Dining,6308.49
2019-05-23,Entertainment,6778.88
2019-05-23,Home,8336.55
2019-05-24,Travel,3208.52
2019-05-24,Shopping Pos,8854.96
2019-05-24,Shopping Net,7475.849999999999
2019-05-24,Misc Net,5509.79
2019-05-24,Personal Care,5605.44
2019-05-24,Misc Pos,7112.96
2019-05-24,Kids Pets,9777.63
2019-05-24,Gas Transport,12006.31
2019-05-24,Health Fitness,5036.61
2019-05-24,Grocery Pos,23983.24
2019-05-24,Grocery Net,3729.38
2019-05-24,Food Dining,6526.0
2019-05-24,Entertainment,8622.59
2019-05-24,Home,10205.5
2019-05-25,Travel,7639.200000000001
2019-05-25,Shopping Pos,22046.35
2019-05-25,Shopping Net,22502.29
2019-05-25,Personal Care,8582.42
2019-05-25,Misc Pos,12824.77
2019-05-25,Misc Net,9548.98
2019-05-25,Kids Pets,14999.88
2019-05-25,Home,15970.33
2019-05-25,Health Fitness,11178.58
2019-05-25,Grocery Pos,28249.29
2019-05-25,Grocery Net,4387.24
2019-05-25,Gas Transport,16074.72
2019-05-25,Food Dining,9515.74
2019-05-25,Entertainment,12247.460000000001
2019-05-26,Travel,4865.99
2019-05-26,Shopping Pos,24771.17
2019-05-26,Shopping Net,30876.8
2019-05-26,Personal Care,11894.42
2019-05-26,Misc Pos,11392.92
2019-05-26,Misc Net,13708.58
2019-05-26,Kids Pets,16358.82
2019-05-26,Health Fitness,11499.97
2019-05-26,Grocery Pos,37157.75
2019-05-26,Grocery Net,5416.95
2019-05-26,Gas Transport,20371.76
2019-05-26,Food Dining,10764.72
2019-05-26,Entertainment,16533.85
2019-05-26,Home,17759.99
2019-05-27,Home,19005.8
2019-05-27,Travel,6406.31
2019-05-27,Shopping Pos,22674.91
2019-05-27,Shopping Net,11797.12
2019-05-27,Personal Care,9208.3
2019-05-27,Misc Pos,11869.88
2019-05-27,Misc Net,13264.94
2019-05-27,Grocery Pos,38678.21
2019-05-27,Health Fitness,11701.01
2019-05-27,Grocery Net,6155.23
2019-05-27,Gas Transport,19186.09
2019-05-27,Food Dining,12467.98
2019-05-27,Entertainment,13673.92
2019-05-27,Kids Pets,15860.57
2019-05-28,Travel,4719.81
2019-05-28,Misc Pos,5586.21
2019-05-28,Misc Net,5060.53
2019-05-28,Shopping Net,11004.61
2019-05-28,Shopping Pos,12316.3
2019-05-28,Personal Care,3663.98
2019-05-28,Kids Pets,7734.86
2019-05-28,Grocery Pos,17409.12
2019-05-28,Health Fitness,6344.96
2019-05-28,Grocery Net,3146.36
2019-05-28,Gas Transport,9606.52
2019-05-28,Food Dining,5404.02
2019-05-28,Entertainment,6780.69
2019-05-28,Home,8071.36
2019-05-29,Travel,5593.83
2019-05-29,Shopping Pos,8058.32
2019-05-29,Shopping Net,11647.82
2019-05-29,Personal Care,6333.83
2019-05-29,Misc Pos,6885.27
2019-05-29,Misc Net,6434.9400000000005
2019-05-29,Kids Pets,8160.25
2019-05-29,Health Fitness,6375.62
2019-05-29,Grocery Pos,18389.97
2019-05-29,Grocery Net,3127.43
2019-05-29,Gas Transport,9905.37
2019-05-29,Food Dining,6646.15
2019-05-29,Entertainment,9375.5
2019-05-29,Home,9484.67
2019-05-30,Misc Net,7231.8
2019-05-30,Shopping Pos,8822.81
2019-05-30,Shopping Net,24066.89
2019-05-30,Personal Care,7792.7
2019-05-30,Misc Pos,5469.76
2019-05-30,Travel,10659.51
2019-05-30,Kids Pets,8849.11
2019-05-30,Grocery Pos,20967.65
2019-05-30,Health Fitness,6684.21
2019-05-30,Grocery Net,3532.26
2019-05-30,Gas Transport,10839.15
2019-05-30,Food Dining,7068.42
2019-05-30,Entertainment,9004.26
2019-05-30,Home,11932.75
2019-05-31,Travel,3634.13
2019-05-31,Shopping Pos,9987.86
2019-05-31,Shopping Net,7813.35
2019-05-31,Personal Care,5919.39
2019-05-31,Misc Pos,3634.02
2019-05-31,Misc Net,7881.53
2019-05-31,Kids Pets,9256.84
2019-05-31,Grocery Pos,23484.74
2019-05-31,Health Fitness,6475.67
2019-05-31,Grocery Net,3301.06
2019-05-31,Gas Transport,12388.07
2019-05-31,Food Dining,8250.86
2019-05-31,Entertainment,7627.52
2019-05-31,Home,11460.1
2019-06-01,Personal Care,10748.41
2019-06-01,Shopping Net,11881.49
2019-06-01,Misc Pos,10536.97
2019-06-01,Travel,6411.8099999999995
2019-06-01,Misc Net,8196.8
2019-06-01,Shopping Pos,13866.210000000001
2019-06-01,Kids Pets,12411.9
2019-06-01,Food Dining,10405.4
2019-06-01,Health Fitness,8660.86
2019-06-01,Entertainment,14489.72
2019-06-01,Gas Transport,20610.82
2019-06-01,Home,15627.51
2019-06-01,Grocery Pos,27351.73
2019-06-01,Grocery Net,5614.42
2019-06-02,Misc Pos,9847.83
2019-06-02,Travel,16162.82
2019-06-02,Shopping Pos,14263.41
2019-06-02,Shopping Net,20631.64
2019-06-02,Personal Care,11757.59
2019-06-02,Misc Net,17070.71
2019-06-02,Kids Pets,18196.42
2019-06-02,Home,17533.15
2019-06-02,Health Fitness,11585.62
2019-06-02,Grocery Pos,35817.35
2019-06-02,Grocery Net,6459.57
2019-06-02,Gas Transport,22951.97
2019-06-02,Food Dining,12740.45
2019-06-02,Entertainment,14028.92
2019-06-03,Misc Pos,16819.61
2019-06-03,Personal Care,11048.59
2019-06-03,Misc Net,15439.06
2019-06-03,Shopping Pos,23591.5
2019-06-03,Travel,7391.69
2019-06-03,Shopping Net,18262.66
2019-06-03,Kids Pets,14446.69
2019-06-03,Home,15651.04
2019-06-03,Health Fitness,11796.75
2019-06-03,Grocery Pos,38529.73
2019-06-03,Grocery Net,5452.7
2019-06-03,Gas Transport,19191.54
2019-06-03,Food Dining,14398.15
2019-06-03,Entertainment,12061.64
2019-06-04,Travel,853.9000000000001
2019-06-04,Shopping Pos,8281.28
2019-06-04,Shopping Net,12307.960000000001
2019-06-04,Personal Care,5176.04
2019-06-04,Misc Pos,7711.33
2019-06-04,Misc Net,7737.62
2019-06-04,Kids Pets,7675.6
2019-06-04,Grocery Pos,16025.07
2019-06-04,Health Fitness,5387.1
2019-06-04,Grocery Net,2558.41
2019-06-04,Gas Transport,9888.61
2019-06-04,Food Dining,3941.19
2019-06-04,Entertainment,7013.46
2019-06-04,Home,9885.15
2019-06-05,Personal Care,6444.16
2019-06-05,Shopping Net,9304.18
2019-06-05,Misc Pos,7118.63
2019-06-05,Travel,2929.98
2019-06-05,Shopping Pos,15518.17
2019-06-05,Misc Net,7733.38
2019-06-05,Kids Pets,8916.71
2019-06-05,Home,9393.27
2019-06-05,Health Fitness,5842.65
2019-06-05,Grocery Pos,18125.38
2019-06-05,Grocery Net,2768.26
2019-06-05,Gas Transport,11635.11
2019-06-05,Food Dining,5747.4
2019-06-05,Entertainment,7634.63
2019-06-06,Travel,3542.72
2019-06-06,Shopping Pos,12455.51
2019-06-06,Shopping Net,7162.2699999999995
2019-06-06,Personal Care,7666.18
2019-06-06,Misc Pos,6715.03
2019-06-06,Misc Net,9578.66
2019-06-06,Kids Pets,10667.68
2019-06-06,Home,11127.47
2019-06-06,Health Fitness,7066.0
2019-06-06,Grocery Pos,21749.43
2019-06-06,Grocery Net,3505.7
2019-06-06,Gas Transport,10893.75
2019-06-06,Food Dining,5959.56
2019-06-06,Entertainment,7238.29
2019-06-07,Travel,4669.03
2019-06-07,Shopping Pos,14107.61
2019-06-07,Shopping Net,9975.63
2019-06-07,Personal Care,6798.04
2019-06-07,Misc Pos,6538.64
2019-06-07,Misc Net,5639.34
2019-06-07,Home,9855.460000000001
2019-06-07,Grocery Pos,21973.91
2019-06-07,Health Fitness,6574.36
2019-06-07,Grocery Net,3442.9
2019-06-07,Gas Transport,11656.93
2019-06-07,Food Dining,8079.42
2019-06-07,Entertainment,8333.49
2019-06-07,Kids Pets,10731.86
2019-06-08,Travel,11181.99
2019-06-08,Shopping Pos,19821.77
2019-06-08,Shopping Net,19417.85
2019-06-08,Personal Care,9707.94
2019-06-08,Misc Pos,12705.1
2019-06-08,Misc Net,7881.86
2019-06-08,Kids Pets,16738.86
2019-06-08,Grocery Pos,35128.5
2019-06-08,Health Fitness,9751.78
2019-06-08,Grocery Net,4859.2
2019-06-08,Gas Transport,17932.56
2019-06-08,Food Dining,9372.03
2019-06-08,Entertainment,11659.85
2019-06-08,Home,13171.53
2019-06-09,Misc Net,12475.03
2019-06-09,Misc Pos,15185.17
2019-06-09,Kids Pets,16095.52
2019-06-09,Shopping Net,14687.68
2019-06-09,Shopping Pos,18894.17
2019-06-09,Personal Care,10558.18
2019-06-09,Travel,7039.93
2019-06-09,Home,18845.76
2019-06-09,Grocery Pos,36077.26
2019-06-09,Entertainment,13841.6
2019-06-09,Food Dining,11274.43
2019-06-09,Health Fitness,12995.74
2019-06-09,Grocery Net,5864.2
2019-06-09,Gas Transport,20520.86
2019-06-10,Travel,7900.87
2019-06-10,Shopping Pos,32092.81
2019-06-10,Shopping Net,21605.88
2019-06-10,Personal Care,10653.55
2019-06-10,Misc Pos,10345.69
2019-06-10,Kids Pets,16495.93
2019-06-10,Misc Net,12049.45
2019-06-10,Health Fitness,11978.69
2019-06-10,Grocery Pos,40105.42
2019-06-10,Grocery Net,5795.09
2019-06-10,Gas Transport,21166.22
2019-06-10,Food Dining,11118.460000000001
2019-06-10,Entertainment,14402.25
2019-06-10,Home,18843.06
2019-06-11,Misc Net,5533.7
2019-06-11,Shopping Pos,14423.33
2019-06-11,Shopping Net,9288.57
2019-06-11,Personal Care,6013.68
2019-06-11,Travel,2267.79
2019-06-11,Home,9505.37
2019-06-11,Misc Pos,6453.71
2019-06-11,Kids Pets,6361.46
2019-06-11,Grocery Pos,16606.1
2019-06-11,Grocery Net,2716.4
2019-06-11,Gas Transport,10061.84
2019-06-11,Food Dining,5675.95
2019-06-11,Entertainment,7579.88
2019-06-11,Health Fitness,5909.19
2019-06-12,Travel,3063.16
2019-06-12,Shopping Pos,10548.64
2019-06-12,Shopping Net,9000.1
2019-06-12,Personal Care,6460.08
2019-06-12,Misc Pos,5967.72
2019-06-12,Misc Net,2860.27
2019-06-12,Kids Pets,8103.11
2019-06-12,Home,9556.05
2019-06-12,Grocery Pos,18475.27
2019-06-12,Grocery Net,2999.19
2019-06-12,Gas Transport,11237.3
2019-06-12,Food Dining,8000.32
2019-06-12,Entertainment,8130.34
2019-06-12,Health Fitness,6003.32
2019-06-13,Travel,6202.0199999999995
2019-06-13,Shopping Pos,15019.029999999999
2019-06-13,Shopping Net,6421.81
2019-06-13,Personal Care,7569.08
2019-06-13,Misc Pos,6580.97
2019-06-13,Misc Net,9848.48
2019-06-13,Kids Pets,7407.08
2019-06-13,Home,9694.61
2019-06-13,Grocery Pos,23893.1
2019-06-13,Entertainment,8751.42
2019-06-13,Food Dining,5910.55
2019-06-13,Health Fitness,7654.3
2019-06-13,Grocery Net,4004.2
2019-06-13,Gas Transport,13307.15
2019-06-14,Travel,28062.239999999998
2019-06-14,Shopping Pos,17661.329999999998
2019-06-14,Shopping Net,12449.35
2019-06-14,Personal Care,6618.76
2019-06-14,Misc Net,9112.88
2019-06-14,Home,10374.27
2019-06-14,Misc Pos,10479.88
2019-06-14,Grocery Pos,24970.04
2019-06-14,Grocery Net,3873.35
2019-06-14,Gas Transport,13606.85
2019-06-14,Food Dining,6557.8
2019-06-14,Entertainment,7675.83
2019-06-14,Health Fitness,5601.84
2019-06-14,Kids Pets,9667.76
2019-06-15,Kids Pets,13611.36
2019-06-15,Travel,6254.57
2019-06-15,Shopping Pos,21020.19
2019-06-15,Shopping Net,18047.33
2019-06-15,Personal Care,9334.51
2019-06-15,Misc Pos,13883.24
2019-06-15,Misc Net,16132.92
2019-06-15,Home,16643.45
2019-06-15,Grocery Pos,33172.5
2019-06-15,Grocery Net,4476.19
2019-06-15,Gas Transport,20103.63
2019-06-15,Food Dining,9974.72
2019-06-15,Entertainment,14766.210000000001
2019-06-15,Health Fitness,9199.22
2019-06-16,Travel,7036.25
2019-06-16,Shopping Pos,17182.91
2019-06-16,Shopping Net,22179.66
2019-06-16,Personal Care,12219.16
2019-06-16,Misc Pos,16253.48
2019-06-16,Misc Net,14848.86
2019-06-16,Kids Pets,17780.92
2019-06-16,Home,18512.99
2019-06-16,Grocery Pos,38486.38
2019-06-16,Grocery Net,5989.36
2019-06-16,Gas Transport,22064.45
2019-06-16,Food Dining,9981.32
2019-06-16,Entertainment,13128.69
2019-06-16,Health Fitness,12915.6
2019-06-17,Misc Net,11027.55
2019-06-17,Shopping Pos,25148.09
2019-06-17,Shopping Net,11795.05
2019-06-17,Personal Care,11516.69
2019-06-17,Misc Pos,9832.17
2019-06-17,Kids Pets,17833.38
2019-06-17,Travel,12238.68
2019-06-17,Health Fitness,10689.77
2019-06-17,Grocery Pos,36652.07
2019-06-17,Grocery Net,7432.33
2019-06-17,Gas Transport,20845.49
2019-06-17,Food Dining,12297.88
2019-06-17,Entertainment,13862.13
2019-06-17,Home,17514.94
2019-06-18,Travel,6013.36
2019-06-18,Shopping Pos,11326.69
2019-06-18,Misc Net,6609.82
2019-06-18,Shopping Net,10341.25
2019-06-18,Personal Care,4593.03
2019-06-18,Misc Pos,5834.6
2019-06-18,Kids Pets,7578.96
2019-06-18,Food Dining,5328.67
2019-06-18,Health Fitness,5047.09
2019-06-18,Grocery Pos,15476.73
2019-06-18,Grocery Net,3200.5
2019-06-18,Gas Transport,10531.59
2019-06-18,Entertainment,8041.31
2019-06-18,Home,8813.28
2019-06-19,Travel,3724.36
2019-06-19,Shopping Pos,10328.95
2019-06-19,Shopping Net,11190.75
2019-06-19,Personal Care,6092.02
2019-06-19,Misc Pos,6768.37
2019-06-19,Misc Net,6477.889999999999
2019-06-19,Kids Pets,7818.2
2019-06-19,Health Fitness,5599.97
2019-06-19,Grocery Pos,16859.87
2019-06-19,Grocery Net,2919.88
2019-06-19,Gas Transport,10681.6
2019-06-19,Food Dining,5952.83
2019-06-19,Entertainment,8597.3
2019-06-19,Home,10734.73
2019-06-20,Misc Net,8411.93
2019-06-20,Travel,11105.54
2019-06-20,Shopping Pos,12080.41
2019-06-20,Shopping Net,9936.539999999999
2019-06-20,Personal Care,6936.37
2019-06-20,Misc Pos,4185.11
2019-06-20,Kids Pets,9835.18
2019-06-20,Home,10361.33
2019-06-20,Health Fitness,7312.34
2019-06-20,Grocery Pos,23524.7
2019-06-20,Grocery Net,3923.39
2019-06-20,Gas Transport,11005.44
2019-06-20,Food Dining,6358.54
2019-06-20,Entertainment,9604.72
2019-06-21,Travel,4760.18
2019-06-21,Shopping Pos,17411.54
2019-06-21,Shopping Net,16891.19
2019-06-21,Personal Care,7301.01
2019-06-21,Misc Pos,9809.49
2019-06-21,Misc Net,4171.6
2019-06-21,Kids Pets,10399.19
2019-06-21,Home,11535.62
2019-06-21,Health Fitness,7559.99
2019-06-21,Grocery Pos,22832.0
2019-06-21,Grocery Net,3796.48
2019-06-21,Gas Transport,12749.54
2019-06-21,Food Dining,8244.23
2019-06-21,Entertainment,8772.81
2019-06-22,Travel,6914.35
2019-06-22,Shopping Pos,19949.56
2019-06-22,Shopping Net,20535.399999999998
2019-06-22,Personal Care,9705.45
2019-06-22,Misc Pos,10996.44
2019-06-22,Misc Net,8651.27
2019-06-22,Kids Pets,11281.93
2019-06-22,Home,15146.83
2019-06-22,Health Fitness,9107.07
2019-06-22,Grocery Pos,29792.7
2019-06-22,Grocery Net,5637.73
2019-06-22,Gas Transport,20268.19
2019-06-22,Food Dining,10146.98
2019-06-22,Entertainment,11993.31
2019-06-23,Travel,23582.69
2019-06-23,Shopping Pos,25100.059999999998
2019-06-23,Shopping Net,16646.95
2019-06-23,Personal Care,10617.53
2019-06-23,Misc Pos,17226.57
2019-06-23,Misc Net,14778.14
2019-06-23,Kids Pets,17283.47
2019-06-23,Home,18069.71
2019-06-23,Health Fitness,11933.26
2019-06-23,Grocery Pos,31896.03
2019-06-23,Grocery Net,6152.06
2019-06-23,Gas Transport,21751.85
2019-06-23,Food Dining,12332.16
2019-06-23,Entertainment,14104.47
2019-06-24,Travel,16600.11
2019-06-24,Shopping Pos,26835.3
2019-06-24,Shopping Net,21315.24
2019-06-24,Personal Care,12596.83
2019-06-24,Misc Pos,14195.51
2019-06-24,Misc Net,10065.91
2019-06-24,Home,16472.99
2019-06-24,Grocery Pos,33722.97
2019-06-24,Health Fitness,9645.76
